username,public_repos,public_gists,followers,following,repos_count,contribution,JavaScript,Java,HTML,CSS,C,Python,C++,TypeScript,C#,Dart,Kotlin,PHP,Go,industry_score
dinukarumesh,7,0,1,2,7,5,48.06,2.25,10.53,16.3,0.0,0.0,0.0,42.38,94.56,88.35,0.0,0.0,0.0,17.746111111111112
RuvinT,45,0,1,0,30,6,46.8,64.01,18.86,15.79,26.08,85.88,0.0,75.4,2.73,0.0,0.0,45.94,0.0,25.416111111111114
Thimankrishh,30,0,0,1,30,7,56.96,100.0,28.12,7.51,0.0,0.0,0.0,43.71,3.33,0.0,0.0,0.0,0.0,16.701666666666668
sampath1994,44,0,0,2,30,14,37.24,90.33,21.51,7.22,54.01,100.0,4.09,74.75,0.0,0.0,0.0,0.0,100.0,31.397222222222222
karunarathneeshani,6,0,1,2,6,3,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5
UthpalaHewage,29,0,1,1,29,5,31.99,60.37,18.4,7.9,0.0,100.0,0.0,53.98,58.05,0.0,0.0,0.0,0.0,21.705
SajithSUA,13,2,0,0,13,8,11.1,96.08,13.11,8.14,0.0,84.11,0.0,65.09,0.0,0.0,0.0,0.0,0.0,16.979444444444443
Malith-Wijesekara,22,0,2,1,22,14,48.22,68.89,14.36,12.68,0.0,56.15,100.0,25.28,52.75,0.0,0.0,6.12,0.0,23.96944444444445
sanjayamal,11,0,0,0,11,3,31.84,0.0,22.07,13.06,0.0,35.78,0.0,66.97,0.0,0.0,0.0,0.0,0.0,10.651111111111112
ranahansi,6,0,0,0,6,4,11.61,0.0,4.41,0.65,0.0,100.0,0.0,83.33,100.0,0.0,0.0,0.0,0.0,17.333333333333332
kushan5,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
AmilaNawarathna,3,0,0,1,3,2,0.25,0.0,11.16,8.77,0.0,0.0,0.0,10.7,0.0,0.0,0.0,66.18,0.0,5.7811111111111115
Kavinda-Senarathne,83,6,24,85,30,15,30.21,69.76,16.03,10.15,5.33,49.26,29.67,64.69,31.69,0.89,0.0,2.49,7.3,30.303888888888885
ChaminduUdakara,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
madhusankaranasinghe,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667
akAsara,4,0,0,0,4,0,0.3,5.88,0.0,3.98,0.46,0.0,0.0,0.0,85.42,0.0,0.0,95.87,0.0,11.106111111111112
bawani,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DilkiIshara,3,0,2,2,3,1,0.0,0.0,0.0,0.0,0.16,98.92,0.92,0.0,0.0,0.0,0.0,0.0,0.0,6.111111111111111
SalindaKumarasiri,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLCJliyanage,15,0,0,2,15,12,3.73,95.82,23.7,6.76,0.0,0.0,0.0,41.92,84.89,0.0,0.0,0.0,0.0,16.045555555555552
samilaishara,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
nuwanuomfit,2,0,0,0,2,1,4.47,0.0,4.06,0.72,0.0,0.0,0.0,0.08,34.94,0.0,0.0,0.0,0.0,2.6816666666666666
